11-Dec-21,18:31:52.295 5 **     5cde sm_debug::write, Index file request: /tasks
11-Dec-21,18:31:52.308 7        5cde sm_atm::__construct, Starting ATM: atm_tasks, ACP: 
11-Dec-21,18:31:52.310 7        5cde sm_sess::_open, save_path = C:\MyFiles\WebSites\whatdoido/sessions
11-Dec-21,18:31:52.322 7        5cde ent_task::getOpenList, Getting open task list: 0, 0, 0, 0
11-Dec-21,18:31:52.324 7        5cde ent_task::getOpenList, Tasks found: 9
11-Dec-21,18:31:52.327 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-21
11-Dec-21,18:31:52.328 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-21 19:00:00
11-Dec-21,18:31:52.328 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-21 21:30:00
11-Dec-21,18:31:52.329 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-22
11-Dec-21,18:31:52.329 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-22 19:00:00
11-Dec-21,18:31:52.330 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-22 21:30:00
11-Dec-21,18:31:52.330 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-23
11-Dec-21,18:31:52.330 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-23 19:00:00
11-Dec-21,18:31:52.330 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-23 21:30:00
11-Dec-21,18:31:52.331 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-24
11-Dec-21,18:31:52.331 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-24 19:00:00
11-Dec-21,18:31:52.331 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-24 21:30:00
11-Dec-21,18:31:52.331 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-25
11-Dec-21,18:31:52.332 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-25 19:00:00
11-Dec-21,18:31:52.332 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-25 21:30:00
11-Dec-21,18:31:52.332 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-26
11-Dec-21,18:31:52.332 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-26 19:00:00
11-Dec-21,18:31:52.333 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-26 21:30:00
11-Dec-21,18:31:52.333 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-27
11-Dec-21,18:31:52.333 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-27 19:00:00
11-Dec-21,18:31:52.333 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-27 21:30:00
11-Dec-21,18:31:52.334 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-28
11-Dec-21,18:31:52.334 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-28 19:00:00
11-Dec-21,18:31:52.334 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-28 21:30:00
11-Dec-21,18:31:52.334 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-29
11-Dec-21,18:31:52.335 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-29 19:00:00
11-Dec-21,18:31:52.335 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-29 21:30:00
11-Dec-21,18:31:52.335 7        5cde atm_tasks::acp_schedule, Adding repeated task for date 2011-12-30
11-Dec-21,18:31:52.335 7        5cde atm_tasks::acp_schedule, New start time = 2011-12-30 19:00:00
11-Dec-21,18:31:52.336 7        5cde atm_tasks::acp_schedule, New end time = 2011-12-30 21:30:00
11-Dec-21,18:31:52.336 7        5cde atm_tasks::outputdebugtasks, Name: Task 1, Calculated deadline: 
